Cicloparqueadero;Tipo de infraestructura;Troncal de TransMilenio;Promedio Hábil;Promedio Sábado;Promedio Domingos y festivos;Cupos
San Mateo;Estación;NQS Sur;1.139;786;351;1.449
Portal Américas;Portal;Américas;645;354;167;785
Portal Sur;Portal;NQS Sur;343;239;109;409
Portal Suba;Portal;Suba;489;331;137;710
Portal Eldorado;Portal;Calle 26;333;197;59;532
Portal 80;Portal;Calle 26;295;183;66;353
Portal Tunal;Portal;Caracas Sur;131;98;50;437
General Santander;Estación;NQS Sur;74;43;23;48
Banderas;Estación;Américas;156;88;34;101
Av. Rojas;Estación;Calle 26;35;19;8;104
Portal 20 de Julio;Portal;Carrera 10;10;9;2;216
Quinta Paredes;Estación;Calle 26;5;3;4;48
Pradera;Estación;Américas;10;7;4;32
Marsella;Estación;Américas;10;3;0;32
Av. Américas - Av. Boyacá;Estación;Américas;11;4;2;32
Transversal 86;Estación;Américas;29;17;6;84
Bicentenario;Estación;Carrera 10;2;3;2;116
Av. 1 de Mayo;Estación;Carrera 10;13;8;2;228
Ricaurte;Estación;NQS Central;16;10;1;165
;;;;;;
