Campo;Descripción 
Zona;Identificador de la zona del sistema troncal donde se encuentra ubicada la estación
Estación;Identificador de la estación troncal 
Acceso de Estación;Identificador del acceso de la estación por donde los usuarios pueden salir del sistema
Mes;Identificador del mes 
Intervalo;Intervalo de tiempo utilizado para la medición de la cantidad de registros de salidas. 
Día 1;Identificador del día 
Día 2;Identificador del día 
Día 3;Identificador del día 
Día 4;Identificador del día 
Día 5;Identificador del día 
Día 6;Identificador del día 
Día 7;Identificador del día 
Día 8;Identificador del día 
Día 9;Identificador del día 
Día 10;Identificador del día 
Día 11;Identificador del día 
Día 12;Identificador del día 
Día 13;Identificador del día 
Día 14;Identificador del día 
Día 15;Identificador del día 
Día 16;Identificador del día 
Día 17;Identificador del día 
Día 18;Identificador del día 
Día 19;Identificador del día 
Día 20;Identificador del día 
Día 21;Identificador del día 
Día 22;Identificador del día 
Día 23;Identificador del día 
Día 24;Identificador del día 
Día 25;Identificador del día 
Día 26;Identificador del día 
Día 27;Identificador del día 
Día 28;Identificador del día 
Día 29;Identificador del día 
Día 30;Identificador del día 
Día 31;Identificador del día 
