Linea;Nombre_Linea;Ruta;Nombre_Ruta;Destino;Id_Parada;Posicion;Nombre_Parada;Tipo_Servicio;Estación
1; CH15;1878;C15;Portal Suba;1808;0;Portal Tunal T6;[1] TRONCAL;Portal Tunal
1; CH15;1878;C15;Portal Suba;1805;1293;Parque A - 4 ó 6;[1] TRONCAL;Parque
1; CH15;1878;C15;Portal Suba;1782;3454;Calle 40 S. A - 4 ó 6;[1] TRONCAL;Calle 40 Sur
1; CH15;1878;C15;Portal Suba;1800;4918;Olaya A - 3 ó 6;[1] TRONCAL;Olaya
1; CH15;1878;C15;Portal Suba;1403;8415;Tercer Milenio B - 4 ó 6;[1] TRONCAL;Tercer Milenio
1; CH15;1878;C15;Portal Suba;1283;9046;Av. Jiménez B - 4 ó 6;[1] TRONCAL;Jiménez
1; CH15;1878;C15;Portal Suba;1296;9735;Calle 19 B - 4 ó 6;[1] TRONCAL;Calle 19
1; CH15;1878;C15;Portal Suba;1304;10154;Calle 22 A - 4 ó 6;[1] TRONCAL;Calle 22
1; CH15;1878;C15;Portal Suba;1324;12490;Calle 45 A - 4 ó 6;[1] TRONCAL;Calle 45
1; CH15;1878;C15;Portal Suba;1387;13242;Marly B - 4 ó 6;[1] TRONCAL;Marly
1; CH15;1878;C15;Portal Suba;1365;16069;Calle 76 A - 4 ó 6;[1] TRONCAL;Calle 76
1; CH15;1878;C15;Portal Suba;1505;17900;Escuela Militar A - 4 ó 6;[1] TRONCAL;Escuela Militar
1; CH15;1878;C15;Portal Suba;1442;19209;Rionegro A - 3 ó 6;[1] TRONCAL;Rionegro
1; CH15;1878;C15;Portal Suba;1439;20895;Puentelargo B - 4 ó 6;[1] TRONCAL;Puentelargo
1; CH15;1878;C15;Portal Suba;1419;22443;Humedal Córdoba B - 4 ó 6;[1] TRONCAL;Humedal Córdoba
1; CH15;1878;C15;Portal Suba;1427;23041;Niza - Calle 127 B - 4 ó 6;[1] TRONCAL;Niza Calle 127
1; CH15;1878;C15;Portal Suba;1414;24738;Gratamira A - 3 ó 6;[1] TRONCAL;Gratamira
1; CH15;1878;C15;Portal Suba;1435;28458;Portal Suba T3;[1] TRONCAL;Portal Suba
1; CH15;1879;H15;Portal Tunal;1435;0;Portal Suba T3;[1] TRONCAL;Portal Suba
1; CH15;1879;H15;Portal Tunal;1417;3402;Gratamira A - 2 ó 5;[1] TRONCAL;Gratamira
1; CH15;1879;H15;Portal Tunal;1428;5105;Niza - Calle 127 B - 1 ó 5;[1] TRONCAL;Niza Calle 127
1; CH15;1879;H15;Portal Tunal;1420;5702;Humedal Córdoba B - 1 ó 5;[1] TRONCAL;Humedal Córdoba
1; CH15;1879;H15;Portal Tunal;1440;7256;Puentelargo B - 1 ó 5;[1] TRONCAL;Puentelargo
1; CH15;1879;H15;Portal Tunal;1445;8923;Rionegro A - 2 ó 5;[1] TRONCAL;Rionegro
1; CH15;1879;H15;Portal Tunal;1511;10086;Escuela Militar A - 2 ó 5;[1] TRONCAL;Escuela Militar
1; CH15;1879;H15;Portal Tunal;322;11827;Calle 76 B - 2 ó 5;[1] TRONCAL;Calle 76
1; CH15;1879;H15;Portal Tunal;1383;14803;Marly A - 2 ó 5;[1] TRONCAL;Marly
1; CH15;1879;H15;Portal Tunal;1331;15482;Calle 45 A - 2 ó 5;[1] TRONCAL;Calle 45
1; CH15;1879;H15;Portal Tunal;1312;17824;Calle 22 A - 2 ó 5;[1] TRONCAL;Calle 22
1; CH15;1879;H15;Portal Tunal;1300;18244;Calle 19 B - 2 ó 5;[1] TRONCAL;Calle 19
1; CH15;1879;H15;Portal Tunal;1279;19009;Av. Jiménez A - 2 ó 5;[1] TRONCAL;Jiménez
1; CH15;1879;H15;Portal Tunal;1407;19559;Tercer Milenio B - 2 ó 5;[1] TRONCAL;Tercer Milenio
1; CH15;1879;H15;Portal Tunal;1799;23035;Olaya A - 2 ó 5;[1] TRONCAL;Olaya
1; CH15;1879;H15;Portal Tunal;1780;24519;Calle 40 S. A - 2 ó 5;[1] TRONCAL;Calle 40 Sur
1; CH15;1879;H15;Portal Tunal;1803;26685;Parque A - 2 ó 5;[1] TRONCAL;Parque
1; CH15;1879;H15;Portal Tunal;1808;27767;Portal Tunal T6;[1] TRONCAL;Portal Tunal
1; CH15;1880;C15;Portal Suba;1808;0;Portal Tunal T6;[1] TRONCAL;Portal Tunal
1; CH15;1880;C15;Portal Suba;1805;1293;Parque A - 4 ó 6;[1] TRONCAL;Parque
1; CH15;1880;C15;Portal Suba;1782;3454;Calle 40 S. A - 4 ó 6;[1] TRONCAL;Calle 40 Sur
1; CH15;1880;C15;Portal Suba;1800;4918;Olaya A - 3 ó 6;[1] TRONCAL;Olaya
1; CH15;1880;C15;Portal Suba;1403;8415;Tercer Milenio B - 4 ó 6;[1] TRONCAL;Tercer Milenio
1; CH15;1880;C15;Portal Suba;1283;9046;Av. Jiménez B - 4 ó 6;[1] TRONCAL;Jiménez
1; CH15;1880;C15;Portal Suba;1296;9735;Calle 19 B - 4 ó 6;[1] TRONCAL;Calle 19
1; CH15;1880;C15;Portal Suba;1304;10154;Calle 22 A - 4 ó 6;[1] TRONCAL;Calle 22
1; CH15;1880;C15;Portal Suba;1324;12490;Calle 45 A - 4 ó 6;[1] TRONCAL;Calle 45
1; CH15;1880;C15;Portal Suba;1387;13242;Marly B - 4 ó 6;[1] TRONCAL;Marly
1; CH15;1880;C15;Portal Suba;1365;16069;Calle 76 A - 4 ó 6;[1] TRONCAL;Calle 76
1; CH15;1880;C15;Portal Suba;1505;17900;Escuela Militar A - 4 ó 6;[1] TRONCAL;Escuela Militar
1; CH15;1880;C15;Portal Suba;1442;19209;Rionegro A - 3 ó 6;[1] TRONCAL;Rionegro
1; CH15;1880;C15;Portal Suba;1439;20895;Puentelargo B - 4 ó 6;[1] TRONCAL;Puentelargo
1; CH15;1880;C15;Portal Suba;1419;22443;Humedal Córdoba B - 4 ó 6;[1] TRONCAL;Humedal Córdoba
1; CH15;1880;C15;Portal Suba;1427;23041;Niza - Calle 127 B - 4 ó 6;[1] TRONCAL;Niza Calle 127
1; CH15;1880;C15;Portal Suba;1414;24738;Gratamira A - 3 ó 6;[1] TRONCAL;Gratamira
1; CH15;1880;C15;Portal Suba;1435;28458;Portal Suba T3;[1] TRONCAL;Portal Suba
1; CH15;1881;H15;Portal Tunal;1435;0;Portal Suba T3;[1] TRONCAL;Portal Suba
1; CH15;1881;H15;Portal Tunal;1417;3402;Gratamira A - 2 ó 5;[1] TRONCAL;Gratamira
1; CH15;1881;H15;Portal Tunal;1428;5105;Niza - Calle 127 B - 1 ó 5;[1] TRONCAL;Niza Calle 127
1; CH15;1881;H15;Portal Tunal;1420;5702;Humedal Córdoba B - 1 ó 5;[1] TRONCAL;Humedal Córdoba
1; CH15;1881;H15;Portal Tunal;1440;7256;Puentelargo B - 1 ó 5;[1] TRONCAL;Puentelargo
1; CH15;1881;H15;Portal Tunal;1445;8923;Rionegro A - 2 ó 5;[1] TRONCAL;Rionegro
1; CH15;1881;H15;Portal Tunal;1511;10086;Escuela Militar A - 2 ó 5;[1] TRONCAL;Escuela Militar
1; CH15;1881;H15;Portal Tunal;322;11827;Calle 76 B - 2 ó 5;[1] TRONCAL;Calle 76
1; CH15;1881;H15;Portal Tunal;1383;14803;Marly A - 2 ó 5;[1] TRONCAL;Marly
1; CH15;1881;H15;Portal Tunal;1331;15482;Calle 45 A - 2 ó 5;[1] TRONCAL;Calle 45
1; CH15;1881;H15;Portal Tunal;1312;17824;Calle 22 A - 2 ó 5;[1] TRONCAL;Calle 22
1; CH15;1881;H15;Portal Tunal;1300;18244;Calle 19 B - 2 ó 5;[1] TRONCAL;Calle 19
1; CH15;1881;H15;Portal Tunal;1279;19009;Av. Jiménez A - 2 ó 5;[1] TRONCAL;Jiménez
1; CH15;1881;H15;Portal Tunal;1407;19559;Tercer Milenio B - 2 ó 5;[1] TRONCAL;Tercer Milenio
1; CH15;1881;H15;Portal Tunal;1799;23035;Olaya A - 2 ó 5;[1] TRONCAL;Olaya
1; CH15;1881;H15;Portal Tunal;1780;24519;Calle 40 S. A - 2 ó 5;[1] TRONCAL;Calle 40 Sur
1; CH15;1881;H15;Portal Tunal;1803;26685;Parque A - 2 ó 5;[1] TRONCAL;Parque
1; CH15;1881;H15;Portal Tunal;1808;27767;Portal Tunal T6;[1] TRONCAL;Portal Tunal
2; AG52;1789;A52;Flores;2015;0;Portal Sur T6;[1] TRONCAL;Portal Sur
2; AG52;1789;A52;Flores;1753;832;Perdomo B - 3;[1] TRONCAL;Perdomo
2; AG52;1789;A52;Flores;1741;1714;Madelena B - 3;[1] TRONCAL;Madelena
2; AG52;1789;A52;Flores;1769;3314;Venecia B - 3;[1] TRONCAL;Venecia
2; AG52;1789;A52;Flores;1721;4284;Alquería B - 3;[1] TRONCAL;Alquería
2; AG52;1789;A52;Flores;1733;4752;G. Santander A - 4 ó 6;[1] TRONCAL;General Santander
2; AG52;1789;A52;Flores;1745;6092;NQS - Calle 30 Sur B - 3;[1] TRONCAL;NQS Calle 30 Sur
2; AG52;1789;A52;Flores;1765;7987;Santa Isabel B - 3;[1] TRONCAL;Santa Isabel
2; AG52;1789;A52;Flores;320;19372;Calle 76 C - 2;[1] TRONCAL;Calle 76
2; AG52;1789;A52;Flores;1376;20688;Flores B - 4 ó 6;[1] TRONCAL;Flores
2; AG52;1790;G52;Portal Sur;1376;0;Flores B - 4 ó 6;[1] TRONCAL;Flores
2; AG52;1790;G52;Portal Sur;1367;909;Calle 76 B - 4 ó 6;[1] TRONCAL;Calle 76
2; AG52;1790;G52;Portal Sur;1766;12443;Santa Isabel B - 1;[1] TRONCAL;Santa Isabel
2; AG52;1790;G52;Portal Sur;1747;14396;NQS - Calle 30 Sur A - 1;[1] TRONCAL;NQS Calle 30 Sur
2; AG52;1790;G52;Portal Sur;1737;15625;G. Santander B - 2 ó 5;[1] TRONCAL;General Santander
2; AG52;1790;G52;Portal Sur;1722;16143;Alquería B - 1;[1] TRONCAL;Alquería
2; AG52;1790;G52;Portal Sur;1770;17111;Venecia B - 1;[1] TRONCAL;Venecia
2; AG52;1790;G52;Portal Sur;1743;18772;Madelena A - 1;[1] TRONCAL;Madelena
2; AG52;1790;G52;Portal Sur;1754;19597;Perdomo B - 1;[1] TRONCAL;Perdomo
2; AG52;1790;G52;Portal Sur;2015;20272;Portal Sur T6;[1] TRONCAL;Portal Sur
4; A74;1596;A74;Calle 72;1250;0;Toberín D - 2;[1] TRONCAL;Toberín
4; A74;1596;A74;Calle 72;1204;1818;Calle 146 C - 1;[1] TRONCAL;Calle 146
4; A74;1596;A74;Calle 72;1199;2255;Calle 142 A - 2;[1] TRONCAL;Calle 142
4; A74;1596;A74;Calle 72;1191;4870;Calle 127 A - 2 ó 5;[1] TRONCAL;Calle 127
4; A74;1596;A74;Calle 72;320;9420;Calle 76 C - 2;[1] TRONCAL;Calle 76
4; A74;1596;A74;Calle 72;1353;9956;Calle 72 C - 2;[1] TRONCAL;Calle 72
6; BD10;1707;B10;Portal Norte;13225;0;Portal 80 T-2;[1] TRONCAL;Portal 80
6; BD10;1707;B10;Portal Norte;1503;1073;Cra. 90 A - 2 ó 5;[1] TRONCAL;Carrera 90
6; BD10;1707;B10;Portal Norte;1477;1628;Av. Cali A - 2 ó 5;[1] TRONCAL;Avenida Cali
6; BD10;1707;B10;Portal Norte;1496;2089;Granja - Cra. 77 D - 2 ó 5;[1] TRONCAL;Granja - Carrera 77
6; BD10;1707;B10;Portal Norte;13416;4440;Av. 68 B - 2 ó 5;[1] TRONCAL;Avenida 68
6; BD10;1707;B10;Portal Norte;1489;5094;Cra. 53 A - 2 ó 5;[1] TRONCAL;Carrera 53
6; BD10;1707;B10;Portal Norte;1485;5691;Cra. 47 B - 2 ó 5;[1] TRONCAL;Carrera 47
6; BD10;1707;B10;Portal Norte;1163;8130;Calle 85 A - 4 ó 6;[1] TRONCAL;Calle 85
6; BD10;1707;B10;Portal Norte;2040;8573;Virrey A - 4 ó 6;[1] TRONCAL;Virrey
6; BD10;1707;B10;Portal Norte;1177;9561;Calle 100 B - 4 ó 6;[1] TRONCAL;Calle 100
6; BD10;1707;B10;Portal Norte;1185;10426;Calle 106 A - 4 ó 6;[1] TRONCAL;Calle 106
6; BD10;1707;B10;Portal Norte;1232;11122;Pepe Sierra A - 4 ó 6;[1] TRONCAL;Pepe Sierra
6; BD10;1707;B10;Portal Norte;1151;13810;Alcalá C - 4 ó 6;[1] TRONCAL;Alcalá
6; BD10;1707;B10;Portal Norte;12906;14760;Calle 146 A - 4 ó 6;[1] TRONCAL;Calle 146
6; BD10;1707;B10;Portal Norte;1251;16466;Toberín B - 4 ó 6;[1] TRONCAL;Toberín
6; BD10;1707;B10;Portal Norte;1235;17424;Portal Norte T1;[1] TRONCAL;Portal Norte
6; BD10;1810;D10;Portal 80;1235;0;Portal Norte T1;[1] TRONCAL;Portal Norte
6; BD10;1810;D10;Portal 80;12937;1616;Toberín A - 2 ó 5;[1] TRONCAL;Toberín
6; BD10;1810;D10;Portal 80;12907;3253;Calle 146 A - 2 ó 5;[1] TRONCAL;Calle 146
6; BD10;1810;D10;Portal 80;1141;4170;Alcalá C - 2 ó 5;[1] TRONCAL;Alcalá
6; BD10;1810;D10;Portal 80;1228;6805;Pepe Sierra B - 2 ó 5;[1] TRONCAL;Pepe Sierra
6; BD10;1810;D10;Portal 80;1181;7240;Calle 106 B - 2 ó 5;[1] TRONCAL;Calle 106
6; BD10;1810;D10;Portal 80;1169;8344;Calle 100 C - 2 ó 5;[1] TRONCAL;Calle 100
6; BD10;1810;D10;Portal 80;1254;9246;Virrey C - 2 ó 5;[1] TRONCAL;Virrey
6; BD10;1810;D10;Portal 80;1157;9556;Calle 85 C - 2 ó 5;[1] TRONCAL;Calle 85
6; BD10;1810;D10;Portal 80;1483;12270;Cra. 47 B - 4 ó 6;[1] TRONCAL;Carrera 47
6; BD10;1810;D10;Portal 80;1487;12865;Cra. 53 A - 4 ó 6;[1] TRONCAL;Carrera 53
6; BD10;1810;D10;Portal 80;13415;13530;Av. 68 B - 4 ó 6;[1] TRONCAL;Avenida 68
6; BD10;1810;D10;Portal 80;1494;15873;Granja - Cra. 77 D - 4 ó 6;[1] TRONCAL;Granja - Carrera 77
6; BD10;1810;D10;Portal 80;1475;16332;Av. Cali A - 4 ó 6;[1] TRONCAL;Avenida  Cali
6; BD10;1810;D10;Portal 80;1501;16889;Cra. 90 A - 4 ó 6;[1] TRONCAL;Carrera 90
6; BD10;1810;D10;Portal 80;13225;18044;Portal 80 T-2;[1] TRONCAL;Portal 80
7; BG12;1303;B12;Portal Norte;2012;0;Portal Sur T3;[1] TRONCAL;Portal Sur
7; BG12;1303;B12;Portal Norte;1752;746;Perdomo A - 3 ó 6;[1] TRONCAL;Perdomo
7; BG12;1303;B12;Portal Norte;1735;4799;G. Santander B - 4 ó 6;[1] TRONCAL;General Santander
7; BG12;1303;B12;Portal Norte;1725;8350;Comuneros A - 4 ó 6;[1] TRONCAL;Comuneros
7; BG12;1303;B12;Portal Norte;1595;9441;Ricaurte B - 4 ó 6;[1] TRONCAL;Ricáurte
7; BG12;1303;B12;Portal Norte;1544;12088;Av. El Dorado A - 4 ó 6;[1] TRONCAL;Avenida El Dorado
7; BG12;1303;B12;Portal Norte;2026;12719;U. Nacional A - 4 ó 6;[1] TRONCAL;Universidad Nacional
7; BG12;1303;B12;Portal Norte;1604;15010;Simón Bolívar A - 4 ó 6;[1] TRONCAL;Simón Bolívar
7; BG12;1303;B12;Portal Norte;2017;16582;NQS - Calle 75 A - 4 ó 6;[1] TRONCAL;Calle 75
7; BG12;1303;B12;Portal Norte;1564;17791;Castellana B - 4 ó 6;[1] TRONCAL;Castellana
7; BG12;1303;B12;Portal Norte;1175;18885;Calle 100 A - 4 ó 6;[1] TRONCAL;Calle 100
7; BG12;1303;B12;Portal Norte;1193;21247;Calle 127 A - 4 ó 6;[1] TRONCAL;Calle 127
7; BG12;1303;B12;Portal Norte;1248;22443;Prado C - 4 ó 6;[1] TRONCAL;Prado
7; BG12;1303;B12;Portal Norte;1201;23639;Calle 142 A - 4 ó 6;[1] TRONCAL;Calle 142
7; BG12;1303;B12;Portal Norte;12934;25845;Toberín A - 4 ó 6;[1] TRONCAL;Toberín
7; BG12;1303;B12;Portal Norte;1238;27227;Portal Norte T4;[1] TRONCAL;Portal Norte
7; BG12;1305;B12;Portal Norte;1739;0;G. Santander A - 2 ó 5;[1] TRONCAL;General Santander
7; BG12;1305;B12;Portal Norte;1735;199;G. Santander B - 4 ó 6;[1] TRONCAL;General Santander
7; BG12;1305;B12;Portal Norte;1725;3750;Comuneros A - 4 ó 6;[1] TRONCAL;Comuneros
7; BG12;1305;B12;Portal Norte;1595;4841;Ricaurte B - 4 ó 6;[1] TRONCAL;Ricáurte
7; BG12;1305;B12;Portal Norte;1544;7488;Av. El Dorado A - 4 ó 6;[1] TRONCAL;Avenida El Dorado
7; BG12;1305;B12;Portal Norte;2026;8119;U. Nacional A - 4 ó 6;[1] TRONCAL;Universidad Nacional
7; BG12;1305;B12;Portal Norte;1604;10410;Simón Bolívar A - 4 ó 6;[1] TRONCAL;Simón Bolívar
7; BG12;1305;B12;Portal Norte;2017;11982;NQS - Calle 75 A - 4 ó 6;[1] TRONCAL;Calle 75
7; BG12;1305;B12;Portal Norte;1564;13191;Castellana B - 4 ó 6;[1] TRONCAL;Castellana
7; BG12;1305;B12;Portal Norte;1175;14285;Calle 100 A - 4 ó 6;[1] TRONCAL;Calle 100
7; BG12;1305;B12;Portal Norte;1193;16647;Calle 127 A - 4 ó 6;[1] TRONCAL;Calle 127
7; BG12;1305;B12;Portal Norte;1248;17843;Prado C - 4 ó 6;[1] TRONCAL;Prado
7; BG12;1305;B12;Portal Norte;1201;19039;Calle 142 A - 4 ó 6;[1] TRONCAL;Calle 142
7; BG12;1305;B12;Portal Norte;12934;21245;Toberín A - 4 ó 6;[1] TRONCAL;Toberín
7; BG12;1305;B12;Portal Norte;1238;22627;Portal Norte T4;[1] TRONCAL;Portal Norte
7; BG12;1680;G12;General Santander;1238;0;Portal Norte T4;[1] TRONCAL;Portal Norte
7; BG12;1680;G12;General Santander;12936;1117;Toberín B - 2 ó 5;[1] TRONCAL;Toberín
7; BG12;1680;G12;General Santander;1197;3050;Calle 142 B - 2 ó 5;[1] TRONCAL;Calle 142
7; BG12;1680;G12;General Santander;1242;4526;Prado C - 2 ó 5;[1] TRONCAL;Prado
7; BG12;1680;G12;General Santander;1189;5666;Calle 127 B - 2 ó 5;[1] TRONCAL;Calle 127
7; BG12;1680;G12;General Santander;1173;8086;Calle 100 A - 2 ó 5;[1] TRONCAL;Calle 100
7; BG12;1680;G12;General Santander;1566;9427;Castellana A - 2 ó 5;[1] TRONCAL;Castellana
7; BG12;1680;G12;General Santander;2032;10303;NQS - Calle 75 B - 2 ó 5;[1] TRONCAL;Calle 75
7; BG12;1680;G12;General Santander;1608;11893;Simón Bolívar B - 2 ó 5;[1] TRONCAL;Simón Bolívar
7; BG12;1680;G12;General Santander;1615;14154;U. Nacional B - 2 ó 5;[1] TRONCAL;Universidad Nacional
7; BG12;1680;G12;General Santander;1546;14887;Av. El Dorado A - 2 ó 5;[1] TRONCAL;Avenida El Dorado
7; BG12;1680;G12;General Santander;1599;17456;Ricaurte C - 2 ó 5;[1] TRONCAL;Ricáurte
7; BG12;1680;G12;General Santander;1729;18550;Comuneros B - 2 ó 5;[1] TRONCAL;Comuneros
7; BG12;1680;G12;General Santander;1739;22243;G. Santander A - 2 ó 5;[1] TRONCAL;General Santander
7; BG12;1681;G12;Portal Sur;1238;0;Portal Norte T4;[1] TRONCAL;Portal Norte
7; BG12;1681;G12;Portal Sur;12936;1117;Toberín B - 2 ó 5;[1] TRONCAL;Toberín
7; BG12;1681;G12;Portal Sur;1197;3050;Calle 142 B - 2 ó 5;[1] TRONCAL;Calle 142
7; BG12;1681;G12;Portal Sur;1242;4526;Prado C - 2 ó 5;[1] TRONCAL;Prado
7; BG12;1681;G12;Portal Sur;1189;5666;Calle 127 B - 2 ó 5;[1] TRONCAL;Calle 127
7; BG12;1681;G12;Portal Sur;1173;8086;Calle 100 A - 2 ó 5;[1] TRONCAL;Calle 100
7; BG12;1681;G12;Portal Sur;1566;9427;Castellana A - 2 ó 5;[1] TRONCAL;Castellana
7; BG12;1681;G12;Portal Sur;2032;10303;NQS - Calle 75 B - 2 ó 5;[1] TRONCAL;Calle 75
7; BG12;1681;G12;Portal Sur;1608;11893;Simón Bolívar B - 2 ó 5;[1] TRONCAL;Simón Bolívar
7; BG12;1681;G12;Portal Sur;1615;14154;U. Nacional B - 2 ó 5;[1] TRONCAL;Universidad Nacional
7; BG12;1681;G12;Portal Sur;1546;14887;Av. El Dorado A - 2 ó 5;[1] TRONCAL;Avenida El Dorado
7; BG12;1681;G12;Portal Sur;1599;17456;Ricaurte C - 2 ó 5;[1] TRONCAL;Ricáurte
7; BG12;1681;G12;Portal Sur;1729;18550;Comuneros B - 2 ó 5;[1] TRONCAL;Comuneros
7; BG12;1681;G12;Portal Sur;1739;22243;G. Santander A - 2 ó 5;[1] TRONCAL;General Santander
7; BG12;1681;G12;Portal Sur;1755;26214;Perdomo A - 1 ó 5;[1] TRONCAL;Perdomo
7; BG12;1681;G12;Portal Sur;2012;26797;Portal Sur T3;[1] TRONCAL;Portal Sur
8; BH13;1766;B13;Portal Norte;13459;0;Portal Tunal T1;[1] TRONCAL;Portal Tunal
8; BH13;1766;B13;Portal Norte;1775;2298;Biblioteca A - 4 ó 6;[1] TRONCAL;Biblioteca
8; BH13;1766;B13;Portal Norte;1812;4527;Quiroga A - 3;[1] TRONCAL;Quiroga
8; BH13;1766;B13;Portal Norte;1817;6131;Restrepo B - 4;[1] TRONCAL;Restrepo
8; BH13;1766;B13;Portal Norte;1793;7731;Hortúa B - 4;[1] TRONCAL;Hortúa
8; BH13;1766;B13;Portal Norte;1401;8744;Tercer Milenio A - 4 ó 6;[1] TRONCAL;Tercer Milenio
8; BH13;1766;B13;Portal Norte;1307;10692;Calle 22 C - 3 ó 6;[1] TRONCAL;Calle 22
8; BH13;1766;B13;Portal Norte;1266;12377;Av. 39 A - 4 ó 6;[1] TRONCAL;Avenida 39
8; BH13;1766;B13;Portal Norte;1347;14926;Calle 63 C - 3;[1] TRONCAL;Calle 63
8; BH13;1766;B13;Portal Norte;1376;15643;Flores B - 4 ó 6;[1] TRONCAL;Flores
8; BH13;1766;B13;Portal Norte;1165;17525;Calle 85 B - 4 ó 6;[1] TRONCAL;Calle 85
8; BH13;1766;B13;Portal Norte;1179;18971;Calle 100 C - 4;[1] TRONCAL;Calle 100
8; BH13;1766;B13;Portal Norte;1186;19798;Calle 106 B - 3;[1] TRONCAL;Calle 106
