"(Tipo documental) 
Norma - Función o Proceso","(Tipo documental) 
Código del Procedimiento","(Tipo documental)  
Código del Formato","(Tipo documental) 
Nombre del registro o documento de archivo","(Tipo documental) 
Definición","(Tipo documental) 
IDIOMA","Soporte
Análogo","Soporte
Digital","Soporte
Electrónico",Descripción del Soporte,"Origen
Interno","Origen
Externo","(Clasificación documental)
Localización del documento o registro","(Clasificación documental)
Cuenta con clasificación
SI / NO","(Clasificación documental)
Serie","(Clasificación documental) 
Subserie","(Clasificación documental)
Unidad Administrativa Responsable - Dependencia"
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-001,Plan Anual de Auditoría,Contiene la información correspondiente a las auditorías planificadas para un periodo de tiempo específico y dirigido hacia un objetivo específico.,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,SI,PLANES,Plan Anual de auditoría,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-002,Planeación de Auditoría,Contiene la secuencia de instrucciones detalladas y los preparativos de una auditoría (Cédula de Auditoría en términos de Control Interno.,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-003,Programa de Auditoría,Contiene los pasos o los diferentes métodos que se deben contemplar al momento de verificar la documentación y recolectar la evidencia.,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-004,Lista de Chequeo,Documento que recopila el cuestionario de las preguntas que se realizan en el desarrollo de la auditoría.,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-005,Registro de Hallazgos,Contiene los aspectos por mejorar identificados en una Auditoría Interna - contemplando evidencias - criterios y efectos.,Español,X,,X,Papel ,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-006,Seguimiento y Verificación a la Gestión del Riesgo,,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-007,Encuesta de Evaluación de Auditoría,contiene la percepción sobre el desarrollo de la auditoría por parte del auditado,Español,X,,X,Papel ,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
AUDITORÍA INTERNA INTEGRAL,P-CI-001,R-CI-008,Informe de Auditoría Interna Integral,En el se consignan fielmente todas las conclusiones de la reunión de cierre. Lo firman el grupo auditor y lo aprueba el responsable de administrar el proceso e auditorías.,Español,X,,X,Papel ,X,,Archivo de Gestión de la Oficina de Control Interno,SI,AUDITORIAS,Auditorías Internas,Oficina de Control Interno
ACCIONES CORRECTIVAS - PREVENTIVAS Y DE MEJORA,P-CI-002,R-CI-009,"Formulación Acción Correctiva
y/o Preventiva",Contiene las acciones emprendidas para eliminar las causas de una no conformidad - defecto no deseable potencial o existente para evitar que suceda o que vuelva a suceder.,Español,X,,,Papel ,X,,Archivo de Gestión de la Oficina de Control Interno,NO,NO ESTABLECIDA,NO ESTABLECIDA,Oficina de Control Interno
ACCIONES CORRECTIVAS - PREVENTIVAS Y DE MEJORA,P-CI-002,R-CI-009,Formulación Acción de Mejora,Contiene las observaciones relacionadas con aspectos por mejorar identificados durante una auditoría interna.,Español,X,,X,Papel y Documento electrónico,X,,Archivo de Gestión de la Oficina de Control Interno,NO,NO ESTABLECIDA,NO ESTABLECIDA,Oficina de Control Interno
